"response_id","transport_method"
"GEN24_1000622","Rental car"
"GEN24_1000622","Taxi / shuttle service"
"GEN24_1000624","Rental car"
"GEN24_1000625","Rental car"
"GEN24_1000626","Rental car"
"GEN24_1000632","Local bus service"
"GEN24_1000632","Other boat or ship"
"GEN24_1000632","Taxi / shuttle service"
"GEN24_1000633","Local bus service"
"GEN24_1000633","Taxi / shuttle service"
"GEN24_1000637","Car or van owned by you / family / friend(s) / company"
"GEN24_1000637","Taxi / shuttle service"
"GEN24_1000643","Tour bus"
"GEN24_1000649","Rental car"
"GEN24_1000649","Scenic trains"
"GEN24_1000649","Taxi / shuttle service"
"GEN24_1000650","Rental car"
"GEN24_1000653","Helicopter"
"GEN24_1000653","Rental car"
"GEN24_1000655","Car or van owned by you / family / friend(s) / company"
"GEN24_1000655","Other bus service"
"GEN24_1000660","Car or van owned by you / family / friend(s) / company"
"GEN24_1000662","Car or van owned by you / family / friend(s) / company"
"GEN24_1000662","Plane (within New Zealand)"
"GEN24_1000662","Rental car"
"GEN24_1000663","App-based services such as Uber, Ola, etc"
"GEN24_1000664","Helicopter"
"GEN24_1000664","Rental car"
"GEN24_1000669","Car or van owned by you / family / friend(s) / company"
"GEN24_1000671","Rental car"
"GEN24_1000671","Scenic trains"
"GEN24_1000671","Taxi / shuttle service"
"GEN24_1000674","Car or van owned by you / family / friend(s) / company"
"GEN24_1000676","Rental car"
"GEN24_1000677","Car or van owned by you / family / friend(s) / company"
"GEN24_1000677","Scenic trains"
"GEN24_1000677","Taxi / shuttle service"
"GEN24_1000691","Car or van owned by you / family / friend(s) / company"
"GEN24_1000693","Car or van owned by you / family / friend(s) / company"
"GEN24_1000693","Taxi / shuttle service"
"GEN24_1000697","Campervan / motor-home owned by you / family / friend(s)"
"GEN24_1000700","Other bus service"
"GEN24_1000700","Rental car"
"GEN24_1000700","Taxi / shuttle service"
"GEN24_1000706","Rental car"
"GEN24_1000708","App-based services such as Uber, Ola, etc"
"GEN24_1000708","Rental car"
"GEN24_1000708","Scenic trains"
"GEN24_1000711","Rental car"
"GEN24_1000713","Rental car"
"GEN24_1000718","Rental car"
"GEN24_1000719","Taxi / shuttle service"
"GEN24_1000720","Helicopter"
"GEN24_1000720","Other bus service"
"GEN24_1000720","Rental car"
"GEN24_1000720","Taxi / shuttle service"
"GEN24_1000729","Bicycle"
"GEN24_1000729","Rental car"
"GEN24_1000731","App-based services such as Uber, Ola, etc"
"GEN24_1000731","Car or van owned by you / family / friend(s) / company"
"GEN24_1000731","Rental car"
"GEN24_1000736","App-based services such as Uber, Ola, etc"
"GEN24_1000736","Limousine / car with driver included"
"GEN24_1000736","Taxi / shuttle service"
"GEN24_1000739","Helicopter"
"GEN24_1000739","Other boat or ship"
"GEN24_1000739","Rental car"
"GEN24_1000739","Taxi / shuttle service"
"GEN24_1000746","App-based services such as Uber, Ola, etc"
"GEN24_1000746","Plane (within New Zealand)"
"GEN24_1000746","Rental car"
"GEN24_1000746","Taxi / shuttle service"
"GEN24_1000748","Rental car"
"GEN24_1000748","Taxi / shuttle service"
"GEN24_1000760","Campervan / motor-home owned by you / family / friend(s)"
"GEN24_1000760","Car or van owned by you / family / friend(s) / company"
"GEN24_1000760","Limousine / car with driver included"
"GEN24_1000760","Plane (within New Zealand)"
"GEN24_1000760","Rental campervan / motor-home"
"GEN24_1000760","Rental car"
"GEN24_1000760","Taxi / shuttle service"
"GEN24_1000766","App-based services such as Uber, Ola, etc"
"GEN24_1000766","Taxi / shuttle service"
"GEN24_1000778","Car or van owned by you / family / friend(s) / company"
"GEN24_1000778","Other ferry"
"GEN24_1000781","Rental car"
"GEN24_1000781","Taxi / shuttle service"
"GEN24_1000783","Car or van owned by you / family / friend(s) / company"
"GEN24_1000788","App-based services such as Uber, Ola, etc"
"GEN24_1000788","Car or van owned by you / family / friend(s) / company"
"GEN24_1000788","Local bus service"
"GEN24_1000788","Other ferry"
"GEN24_1000789","App-based services such as Uber, Ola, etc"
"GEN24_1000789","Car or van owned by you / family / friend(s) / company"
"GEN24_1000789","Local bus service"
"GEN24_1000789","Plane (within New Zealand)"
"GEN24_1000789","Taxi / shuttle service"
"GEN24_1000790","Local bus service"
"GEN24_1000790","Plane (within New Zealand)"
"GEN24_1000790","Rental car"
"GEN24_1000790","Taxi / shuttle service"
"GEN24_1000791","Car or van owned by you / family / friend(s) / company"
"GEN24_1000791","Other ferry"
"GEN24_1000791","Rental car"
"GEN24_1000792","Other type of transport"
"GEN24_1000793","Car or van owned by you / family / friend(s) / company"
"GEN24_1000797","Car or van owned by you / family / friend(s) / company"
"GEN24_1000804","Rental car"
"GEN24_1000804","Taxi / shuttle service"
"GEN24_1000807","App-based services such as Uber, Ola, etc"
"GEN24_1000807","Taxi / shuttle service"
"GEN24_1000821","App-based services such as Uber, Ola, etc"
"GEN24_1000821","Hitch-hiking"
"GEN24_1000821","Local bus service"
"GEN24_1000821","Other boat or ship"
"GEN24_1000821","Other ferry"
"GEN24_1000821","Plane (within New Zealand)"
"GEN24_1000821","Taxi / shuttle service"
"GEN24_1000821","Tour bus"
"GEN24_1000823","App-based services such as Uber, Ola, etc"
"GEN24_1000823","Campervan / motor-home owned by you / family / friend(s)"
"GEN24_1000823","Local bus service"
"GEN24_1000823","Scenic trains"
"GEN24_1000823","Taxi / shuttle service"
"GEN24_1000824","Car or van owned by you / family / friend(s) / company"
"GEN24_1000824","Plane (within New Zealand)"
"GEN24_1000824","Taxi / shuttle service"
"GEN24_1000826","Car or van owned by you / family / friend(s) / company"
"GEN24_1000826","Rental car"
"GEN24_1000826","Yacht"
"GEN24_1000828","Taxi / shuttle service"
"GEN24_1000829","Limousine / car with driver included"
"GEN24_1000829","Rental car"
"GEN24_1000837","Taxi / shuttle service"
"GEN24_1000844","Bus service between towns / cities"
"GEN24_1000844","Taxi / shuttle service"
"GEN24_1000852","Rental car"
"GEN24_1000853","Rental campervan / motor-home"
"GEN24_1000857","Plane (within New Zealand)"
"GEN24_1000857","Taxi / shuttle service"
"GEN24_1000864","Plane (within New Zealand)"
"GEN24_1000864","Scenic trains"
"GEN24_1000864","Tour bus"
"GEN24_1000865","Helicopter"
"GEN24_1000865","Other boat or ship"
"GEN24_1000865","Plane (within New Zealand)"
"GEN24_1000865","Scenic trains"
"GEN24_1000868","Car or van owned by you / family / friend(s) / company"
"GEN24_1000869","Car or van owned by you / family / friend(s) / company"
"GEN24_1000869","Plane (within New Zealand)"
"GEN24_1000870","App-based services such as Uber, Ola, etc"
"GEN24_1000870","Local bus service"
"GEN24_1000870","Taxi / shuttle service"
"GEN24_1000870","Train"
"GEN24_1000871","App-based services such as Uber, Ola, etc"
"GEN24_1000871","Other ferry"
"GEN24_1000871","Rental car"
"GEN24_1000871","Taxi / shuttle service"
"GEN24_1000873","Limousine / car with driver included"
"GEN24_1000877","App-based services such as Uber, Ola, etc"
"GEN24_1000877","Car or van owned by you / family / friend(s) / company"
"GEN24_1000877","Local bus service"
"GEN24_1000877","Taxi / shuttle service"
"GEN24_1000877","Train"
"GEN24_1000879","App-based services such as Uber, Ola, etc"
"GEN24_1000879","Car or van owned by you / family / friend(s) / company"
"GEN24_1000879","Local bus service"
"GEN24_1000884","App-based services such as Uber, Ola, etc"
"GEN24_1000884","Car or van owned by you / family / friend(s) / company"
"GEN24_1000884","Plane (within New Zealand)"
"GEN24_1000884","Rental car"
"GEN24_1000884","Train"
"GEN24_1000890","Car or van owned by you / family / friend(s) / company"
"GEN24_1000900","App-based services such as Uber, Ola, etc"
"GEN24_1000900","Other type of transport"
"GEN24_1000900","Rental car"
"GEN24_1000902","Car or van owned by you / family / friend(s) / company"
"GEN24_1000904","Local bus service"
"GEN24_1000904","Other boat or ship"
"GEN24_1000904","Rental car"
"GEN24_1000907","Rental car"
"GEN24_1000907","Scenic trains"
"GEN24_1000907","Taxi / shuttle service"
"GEN24_1000916","Other bus service"
"GEN24_1000916","Taxi / shuttle service"
"GEN24_1000918","App-based services such as Uber, Ola, etc"
"GEN24_1000918","Other ferry"
"GEN24_1000918","Taxi / shuttle service"
"GEN24_1000927","App-based services such as Uber, Ola, etc"
"GEN24_1000927","Rental car"
"GEN24_1000927","Taxi / shuttle service"
"GEN24_1000928","Rental car"
"GEN24_1000928","Taxi / shuttle service"
"GEN24_1000937","Taxi / shuttle service"
"GEN24_1000937","Tour bus"
"GEN24_1000945","Other ferry"
"GEN24_1000945","Rental car"
"GEN24_1000945","Taxi / shuttle service"
"GEN24_1000948","Car or van owned by you / family / friend(s) / company"
"GEN24_1000950","App-based services such as Uber, Ola, etc"
"GEN24_1000950","Bicycle"
"GEN24_1000950","Other ferry"
"GEN24_1000950","Taxi / shuttle service"
"GEN24_1000963","Car or van owned by you / family / friend(s) / company"
"GEN24_1000963","Taxi / shuttle service"
"GEN24_1000964","Car or van owned by you / family / friend(s) / company"
"GEN24_1000969","Rental car"
"GEN24_1000970","Rental car"
"GEN24_1000977","Car or van owned by you / family / friend(s) / company"
"GEN24_1000980","App-based services such as Uber, Ola, etc"
"GEN24_1000980","Bus service between towns / cities"
"GEN24_1000980","Local bus service"
"GEN24_1000980","Tour bus"
"GEN24_1000982","Car or van owned by you / family / friend(s) / company"
"GEN24_1000984","App-based services such as Uber, Ola, etc"
"GEN24_1000984","Car or van owned by you / family / friend(s) / company"
"GEN24_1000984","Rental car"
"GEN24_1000986","Other type of transport"
"GEN24_1000989","Local bus service"
"GEN24_1000989","Rental car"
"GEN24_1000991","Car or van owned by you / family / friend(s) / company"
"GEN24_1000992","Taxi / shuttle service"
"GEN24_1000992","Tour bus"
"GEN24_1000998","Car or van owned by you / family / friend(s) / company"
"GEN24_1001001","App-based services such as Uber, Ola, etc"
"GEN24_1001001","Helicopter"
"GEN24_1001001","Limousine / car with driver included"
"GEN24_1001001","Local bus service"
"GEN24_1001001","Taxi / shuttle service"
"GEN24_1001003","Helicopter"
"GEN24_1001003","Rental car"
"GEN24_1001003","The ferry between the North Island and the South Island"
"GEN24_1001004","Car or van owned by you / family / friend(s) / company"
"GEN24_1001004","Taxi / shuttle service"
"GEN24_1001011","Other bus service"
"GEN24_1001018","Rental car"
"GEN24_1001020","App-based services such as Uber, Ola, etc"
"GEN24_1001020","Car or van owned by you / family / friend(s) / company"
"GEN24_1001020","Local bus service"
"GEN24_1001020","Taxi / shuttle service"
"GEN24_1001020","Train"
"GEN24_1001021","Other ferry"
"GEN24_1001021","Rental car"
"GEN24_1001023","Local bus service"
"GEN24_1001023","Rental car"
"GEN24_1001023","Taxi / shuttle service"
"GEN24_1001027","Car or van owned by you / family / friend(s) / company"
"GEN24_1001027","Local bus service"
"GEN24_1001027","Other ferry"
"GEN24_1001027","Taxi / shuttle service"
"GEN24_1001038","Car or van owned by you / family / friend(s) / company"
"GEN24_1001038","Rental car"
"GEN24_1001038","Taxi / shuttle service"
"GEN24_1001043","App-based services such as Uber, Ola, etc"
"GEN24_1001043","Car or van owned by you / family / friend(s) / company"
"GEN24_1001043","Limousine / car with driver included"
"GEN24_1001047","Car or van owned by you / family / friend(s) / company"
"GEN24_1001047","Local bus service"
"GEN24_1001047","Other ferry"
"GEN24_1001047","Plane (within New Zealand)"
"GEN24_1001047","Taxi / shuttle service"
"GEN24_1001056","Not sure"
"GEN24_1001059","Other bus service"
"GEN24_1001059","Taxi / shuttle service"
"GEN24_1001060","Local bus service"
"GEN24_1001060","Rental car"
"GEN24_1001060","Taxi / shuttle service"
"GEN24_1001061","Other boat or ship"
"GEN24_1001061","Other bus service"
"GEN24_1001061","Rental car"
"GEN24_1001061","Taxi / shuttle service"
"GEN24_1001065","Rental car"
"GEN24_1001065","Taxi / shuttle service"
"GEN24_1001068","Car or van owned by you / family / friend(s) / company"
"GEN24_1001068","Local bus service"
"GEN24_1001068","Plane (within New Zealand)"
"GEN24_1001068","Taxi / shuttle service"
"GEN24_1001069","App-based services such as Uber, Ola, etc"
"GEN24_1001069","Local bus service"
"GEN24_1001069","Taxi / shuttle service"
"GEN24_1001069","Tour bus"
"GEN24_1001074","Bus service between towns / cities"
"GEN24_1001074","Local bus service"
"GEN24_1001077","Local bus service"
"GEN24_1001077","Rental car"
"GEN24_1001083","Car or van owned by you / family / friend(s) / company"
"GEN24_1001083","Taxi / shuttle service"
"GEN24_1001088","App-based services such as Uber, Ola, etc"
"GEN24_1001088","Car or van owned by you / family / friend(s) / company"
"GEN24_1001089","App-based services such as Uber, Ola, etc"
"GEN24_1001089","Car or van owned by you / family / friend(s) / company"
"GEN24_1001089","Local bus service"
"GEN24_1001089","Other ferry"
"GEN24_1001089","Rental car"
"GEN24_1001089","Train"
"GEN24_1001090","Car or van owned by you / family / friend(s) / company"
"GEN24_1001094","Car or van owned by you / family / friend(s) / company"
"GEN24_1001094","Local bus service"
"GEN24_1001094","Other ferry"
"GEN24_1001100","Car or van owned by you / family / friend(s) / company"
"GEN24_1001100","Other ferry"
"GEN24_1001106","Rental car"
"GEN24_1001111","Car or van owned by you / family / friend(s) / company"
"GEN24_1001111","Rental car"
"GEN24_1001111","Taxi / shuttle service"
"GEN24_1001112","App-based services such as Uber, Ola, etc"
"GEN24_1001112","Bus service between towns / cities"
"GEN24_1001112","Car or van owned by you / family / friend(s) / company"
"GEN24_1001113","Helicopter"
"GEN24_1001113","Rental car"
"GEN24_1001113","Taxi / shuttle service"
"GEN24_1001116","App-based services such as Uber, Ola, etc"
"GEN24_1001116","Car or van owned by you / family / friend(s) / company"
"GEN24_1001116","Taxi / shuttle service"
"GEN24_1001119","Taxi / shuttle service"
"GEN24_1001120","App-based services such as Uber, Ola, etc"
"GEN24_1001125","App-based services such as Uber, Ola, etc"
"GEN24_1001125","Car or van owned by you / family / friend(s) / company"
"GEN24_1001125","Taxi / shuttle service"
"GEN24_1001130","Rental car"
"GEN24_1001135","Car or van owned by you / family / friend(s) / company"
"GEN24_1001135","Plane (within New Zealand)"
"GEN24_1001139","Car or van owned by you / family / friend(s) / company"
"GEN24_1001148","Rental car"
"GEN24_1001148","Taxi / shuttle service"
"GEN24_1001151","Car or van owned by you / family / friend(s) / company"
"GEN24_1001158","Car or van owned by you / family / friend(s) / company"
"GEN24_1001158","Plane (within New Zealand)"
"GEN24_1001158","Rental car"
"GEN24_1001158","Tour bus"
"GEN24_1001160","Car or van owned by you / family / friend(s) / company"
"GEN24_1001160","Local bus service"
"GEN24_1001160","Train"
"GEN24_1001161","Car or van owned by you / family / friend(s) / company"
"GEN24_1001161","Plane (within New Zealand)"
"GEN24_1001164","App-based services such as Uber, Ola, etc"
"GEN24_1001164","Other ferry"
"GEN24_1001168","Bicycle"
"GEN24_1001168","Car or van owned by you / family / friend(s) / company"
"GEN24_1001168","Plane (within New Zealand)"
"GEN24_1001169","Car or van owned by you / family / friend(s) / company"
"GEN24_1001169","Plane (within New Zealand)"
"GEN24_1001169","Rental car"
"GEN24_1001169","The ferry between the North Island and the South Island"
"GEN24_1001170","Car or van owned by you / family / friend(s) / company"
"GEN24_1001170","Plane (within New Zealand)"
"GEN24_1001170","Rental car"
"GEN24_1001176","Car or van owned by you / family / friend(s) / company"
"GEN24_1001176","Plane (within New Zealand)"
"GEN24_1001176","Rental car"
"GEN24_1001178","Car or van owned by you / family / friend(s) / company"
"GEN24_1001182","Car or van owned by you / family / friend(s) / company"
"GEN24_1001182","Other boat or ship"
"GEN24_1001183","Local bus service"
"GEN24_1001183","Tour bus"
"GEN24_1001187","Car or van owned by you / family / friend(s) / company"
"GEN24_1001188","App-based services such as Uber, Ola, etc"
"GEN24_1001188","Car or van owned by you / family / friend(s) / company"
"GEN24_1001188","Taxi / shuttle service"
"GEN24_1001191","Car or van owned by you / family / friend(s) / company"
"GEN24_1001192","Car or van owned by you / family / friend(s) / company"
"GEN24_1001192","Taxi / shuttle service"
"GEN24_1001193","Not sure"
"GEN24_1001201","App-based services such as Uber, Ola, etc"
"GEN24_1001201","Local bus service"
"GEN24_1001201","Plane (within New Zealand)"
"GEN24_1001201","Rental car"
"GEN24_1001201","Taxi / shuttle service"
"GEN24_1001201","Tour bus"
"GEN24_1001209","Car or van owned by you / family / friend(s) / company"
"GEN24_1001221","Rental car"
"GEN24_1001223","Local bus service"
"GEN24_1001223","Tour bus"
"GEN24_1001226","Car or van owned by you / family / friend(s) / company"
"GEN24_1001226","Plane (within New Zealand)"
"GEN24_1001226","Taxi / shuttle service"
"GEN24_1001226","Tour bus"
"GEN24_1001228","Rental car"
"GEN24_1001228","Taxi / shuttle service"
"GEN24_1001230","Other bus service"
"GEN24_1001234","Helicopter"
"GEN24_1001234","Other boat or ship"
"GEN24_1001234","Rental car"
"GEN24_1001235","Helicopter"
"GEN24_1001235","Taxi / shuttle service"
"GEN24_1001235","Tour bus"
"GEN24_1001237","Taxi / shuttle service"
"GEN24_1001242","App-based services such as Uber, Ola, etc"
"GEN24_1001242","Taxi / shuttle service"
"GEN24_1001245","Rental car"
"GEN24_1001248","Rental car"
"GEN24_1001253","Car or van owned by you / family / friend(s) / company"
"GEN24_1001256","App-based services such as Uber, Ola, etc"
"GEN24_1001256","Car or van owned by you / family / friend(s) / company"
"GEN24_1001257","App-based services such as Uber, Ola, etc"
"GEN24_1001257","Other boat or ship"
"GEN24_1001257","Rental car"
"GEN24_1001257","Scenic trains"
"GEN24_1001257","Taxi / shuttle service"
"GEN24_1001257","Tour bus"
"GEN24_1001258","Car or van owned by you / family / friend(s) / company"
"GEN24_1001262","App-based services such as Uber, Ola, etc"
"GEN24_1001262","Rental car"
"GEN24_1001263","Local bus service"
"GEN24_1001267","Other type of transport"
"GEN24_1001272","Local bus service"
"GEN24_1001272","Taxi / shuttle service"
"GEN24_1001277","Rental car"
"GEN24_1001281","App-based services such as Uber, Ola, etc"
"GEN24_1001281","Rental campervan / motor-home"
"GEN24_1001281","Rental car"
"GEN24_1001281","Taxi / shuttle service"
"GEN24_1001281","Tour bus"
"GEN24_1001282","Car or van owned by you / family / friend(s) / company"
"GEN24_1001282","Other type of transport"
"GEN24_1001297","Other bus service"
"GEN24_1001297","Taxi / shuttle service"
"GEN24_1001313","Rental car"
"GEN24_1001313","Tour bus"
"GEN24_1001315","App-based services such as Uber, Ola, etc"
"GEN24_1001315","Rental car"
"GEN24_1001315","Taxi / shuttle service"
"GEN24_1001315","Tour bus"
"GEN24_1001316","Local bus service"
"GEN24_1001316","Rental car"
"GEN24_1001316","Taxi / shuttle service"
"GEN24_1001317","Taxi / shuttle service"
"GEN24_1001325","App-based services such as Uber, Ola, etc"
"GEN24_1001325","Rental car"
"GEN24_1001325","Taxi / shuttle service"
"GEN24_1001332","Rental car"
"GEN24_1001336","Rental car"
"GEN24_1001336","Taxi / shuttle service"
"GEN24_1001338","Rental car"
"GEN24_1001350","Car or van owned by you / family / friend(s) / company"
"GEN24_1001350","Rental car"
"GEN24_1001350","Taxi / shuttle service"
"GEN24_1001355","App-based services such as Uber, Ola, etc"
"GEN24_1001362","Car or van owned by you / family / friend(s) / company"
"GEN24_1001367","Plane (within New Zealand)"
"GEN24_1001367","Rental car"
"GEN24_1001370","Car or van owned by you / family / friend(s) / company"
"GEN24_1001370","Other boat or ship"
"GEN24_1001370","Plane (within New Zealand)"
"GEN24_1001370","Rental car"
"GEN24_1001370","Taxi / shuttle service"
"GEN24_1001385","Car or van owned by you / family / friend(s) / company"
"GEN24_1001385","Plane (within New Zealand)"
"GEN24_1001385","Rental car"
"GEN24_1001386","Plane (within New Zealand)"
"GEN24_1001386","Rental car"
"GEN24_1001386","Taxi / shuttle service"
"GEN24_1001388","App-based services such as Uber, Ola, etc"
"GEN24_1001388","Local bus service"
"GEN24_1001388","Taxi / shuttle service"
"GEN24_1001388","Tour bus"
"GEN24_1001403","Local bus service"
"GEN24_1001403","Taxi / shuttle service"
"GEN24_1001406","Rental car"
"GEN24_1001407","Bicycle"
"GEN24_1001407","Local bus service"
"GEN24_1001407","Rental car"
"GEN24_1001407","Taxi / shuttle service"
"GEN24_1001407","Tour bus"
"GEN24_1001411","Rental car"
"GEN24_1001411","Taxi / shuttle service"
"GEN24_1001412","Rental car"
"GEN24_1001412","Taxi / shuttle service"
"GEN24_1001417","Tour bus"
"GEN24_1001423","Rental car"
"GEN24_1001428","Helicopter"
"GEN24_1001428","Limousine / car with driver included"
"GEN24_1001428","Other bus service"
"GEN24_1001429","Taxi / shuttle service"
"GEN24_1001429","Tour bus"
"GEN24_1001431","Local bus service"
"GEN24_1001431","Rental car"
"GEN24_1001432","Other bus service"
"GEN24_1001432","Taxi / shuttle service"
"GEN24_1001434","App-based services such as Uber, Ola, etc"
"GEN24_1001434","Rental car"
"GEN24_1001434","Taxi / shuttle service"
"GEN24_1001440","Car or van owned by you / family / friend(s) / company"
"GEN24_1001440","Local bus service"
"GEN24_1001440","Plane (within New Zealand)"
"GEN24_1001440","Taxi / shuttle service"
"GEN24_1001446","App-based services such as Uber, Ola, etc"
"GEN24_1001447","Car or van owned by you / family / friend(s) / company"
"GEN24_1001447","Hitch-hiking"
"GEN24_1001447","Plane (within New Zealand)"
"GEN24_1001450","Car or van owned by you / family / friend(s) / company"
"GEN24_1001450","Other ferry"
"GEN24_1001450","Plane (within New Zealand)"
"GEN24_1001450","Rental car"
"GEN24_1001450","Scenic trains"
"GEN24_1001450","Taxi / shuttle service"
"GEN24_1001458","Taxi / shuttle service"
"GEN24_1001461","App-based services such as Uber, Ola, etc"
"GEN24_1001465","Car or van owned by you / family / friend(s) / company"
"GEN24_1001465","Plane (within New Zealand)"
"GEN24_1001465","Taxi / shuttle service"
"GEN24_1001465","Train"
"GEN24_1001478","Rental car"
"GEN24_1001478","The ferry between the North Island and the South Island"
"GEN24_1001481","Car or van owned by you / family / friend(s) / company"
"GEN24_1001485","Rental car"
"GEN24_1001485","Taxi / shuttle service"
"GEN24_1001488","Car or van owned by you / family / friend(s) / company"
"GEN24_1001493","App-based services such as Uber, Ola, etc"
"GEN24_1001493","Car or van owned by you / family / friend(s) / company"
"GEN24_1001507","App-based services such as Uber, Ola, etc"
"GEN24_1001507","Car or van owned by you / family / friend(s) / company"
"GEN24_1001507","Local bus service"
"GEN24_1001507","Other ferry"
"GEN24_1001507","Rental car"
"GEN24_1001507","Scenic trains"
"GEN24_1001507","Taxi / shuttle service"
"GEN24_1001511","Rental car"
"GEN24_1001514","Rental car"
"GEN24_1001514","Train"
"GEN24_1001515","Car or van owned by you / family / friend(s) / company"
