"response_id","satisfaction_rating","expectation_rating","recommend_rating"
"GEN24_1000558","3 - Acceptable","3 - Turn out worse than the expectations you had before you arrived in New Zealand","7"
"GEN24_1000566","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000571","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000574","4 - Satisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000576","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000581","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000582","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000589","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000590","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000609","3 - Acceptable","3 - Turn out worse than the expectations you had before you arrived in New Zealand","5"
"GEN24_1000611","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000612","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000615","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","6"
"GEN24_1000616","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000621","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000622","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000624","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9"
"GEN24_1000625","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000626","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000632","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000633","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000637","1 - Very dissatisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","1 - Not at all likely to recommend"
"GEN24_1000649","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000650","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000653","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000655","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000660","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","6"
"GEN24_1000662","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000663","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000664","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000669","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000671","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000674","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000676","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000677","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000691","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000693","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000697","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000700","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000706","4 - Satisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","8"
"GEN24_1000708","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000711","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000713","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000718","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000719","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000720","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000729","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000731","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000736","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000739","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000746","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000748","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000760","3 - Acceptable","3 - Turn out worse than the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000766","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000778","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000781","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000783","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000788","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000789","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000790","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000791","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000792","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000793","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000797","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000804","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000807","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000821","1 - Very dissatisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000823","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000824","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000826","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000828","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000829","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000837","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000844","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000852","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000853","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000857","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000864","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000865","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","4"
"GEN24_1000868","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000869","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000870","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000871","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000873","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000877","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000879","3 - Acceptable","3 - Turn out worse than the expectations you had before you arrived in New Zealand","8"
"GEN24_1000884","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000890","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","3"
"GEN24_1000900","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000902","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000904","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000907","1 - Very dissatisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000916","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000918","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000927","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000928","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000937","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1000945","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000948","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000950","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000963","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000964","1 - Very dissatisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000977","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000980","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000982","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1000986","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000989","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000991","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1000992","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1000998","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001001","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1001003","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1001004","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001011","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001018","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001020","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001021","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001023","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001027","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001038","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001047","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001056","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9"
"GEN24_1001059","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001060","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001061","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001068","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001069","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001074","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001077","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001083","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","8"
"GEN24_1001088","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001089","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","8"
"GEN24_1001090","2 - Dissatisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","4"
"GEN24_1001094","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001100","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001106","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001111","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1001112","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1001113","4 - Satisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001116","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9"
"GEN24_1001119","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001120","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001125","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1001130","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001135","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001139","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001148","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001151","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001158","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001160","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001161","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001164","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1001168","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9"
"GEN24_1001169","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001176","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001178","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","7"
"GEN24_1001182","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001183","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1001187","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","8"
"GEN24_1001188","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","5"
"GEN24_1001191","4 - Satisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001192","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001201","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001209","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001221","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001223","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001226","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001230","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001234","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001235","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001237","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001248","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001253","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001256","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001257","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001258","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001262","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001263","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001267","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001272","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001277","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001281","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9"
"GEN24_1001282","3 - Acceptable","3 - Turn out worse than the expectations you had before you arrived in New Zealand","5"
"GEN24_1001297","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001313","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001315","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001316","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001317","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001325","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001332","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001336","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001338","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001350","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001355","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","5"
"GEN24_1001362","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001367","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001370","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001385","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001386","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001388","3 - Acceptable","3 - Turn out worse than the expectations you had before you arrived in New Zealand","4"
"GEN24_1001403","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001406","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001407","3 - Acceptable","Not sure","10 - Extremely likely to recommend"
"GEN24_1001411","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001412","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001417","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001423","3 - Acceptable","2 - Meet the expectations you had before you arrived in New Zealand","7"
"GEN24_1001428","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001429","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9"
"GEN24_1001431","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001434","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
"GEN24_1001440","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001446","1 - Very dissatisfied","3 - Turn out worse than the expectations you had before you arrived in New Zealand","1 - Not at all likely to recommend"
"GEN24_1001447","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9"
"GEN24_1001450","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001458","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001465","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9"
"GEN24_1001478","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001481","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","7"
"GEN24_1001485","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8"
"GEN24_1001488","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend"
