"response_id","place_stayed","nights"
"GEN24_1000511","Auckland District",7
"GEN24_1000512","Auckland District",1
"GEN24_1000518","Auckland District",5
"GEN24_1000518","Matamata-Piako District",4
"GEN24_1000518","Rotorua District",3
"GEN24_1000521","Auckland District",7
"GEN24_1000522","Auckland District",3
"GEN24_1000522","Hamilton City",4
"GEN24_1000522","Palmerston North City",16
"GEN24_1000523","Auckland District",14
"GEN24_1000523","Tauranga City",2
"GEN24_1000524","Other",21
"GEN24_1000528","Christchurch City",6
"GEN24_1000528","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",9
"GEN24_1000530","Wellington City",2
"GEN24_1000534","Wellington City",10
"GEN24_1000535","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",9
"GEN24_1000535","Wellington City",1
"GEN24_1000536","Auckland District",28
"GEN24_1000538","Auckland District",4
"GEN24_1000539","Auckland District",2
"GEN24_1000540","Hurunui District",2
"GEN24_1000540","Marlborough District",20
"GEN24_1000540","Waimakariri District",7
"GEN24_1000540","Wellington City",2
"GEN24_1000542","Auckland District",50
"GEN24_1000542","Tauranga City",4
"GEN24_1000542","Thames-Coromandel District",4
"GEN24_1000543","Wellington City",2
"GEN24_1000549","Wellington City",9
"GEN24_1000558","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",10
"GEN24_1000566","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1000571","Christchurch City",3
"GEN24_1000571","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1000571","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",4
"GEN24_1000574","Ashburton District",1
"GEN24_1000574","Clutha District",3
"GEN24_1000574","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000574","Timaru District",4
"GEN24_1000576","Christchurch City",11
"GEN24_1000581","Christchurch City",2
"GEN24_1000581","Dunedin City",3
"GEN24_1000581","Invercargill City",2
"GEN24_1000581","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000582","Other",6
"GEN24_1000589","Rangitikei District",20
"GEN24_1000589","Taupo District",1
"GEN24_1000590","Christchurch City",5
"GEN24_1000609","Ashburton District",12
"GEN24_1000609","Christchurch City",5
"GEN24_1000612","Christchurch City",7
"GEN24_1000612","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",17
"GEN24_1000612","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",1
"GEN24_1000614","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",10
"GEN24_1000615","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",10
"GEN24_1000616","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",8
"GEN24_1000621","Auckland District",2
"GEN24_1000621","Christchurch City",2
"GEN24_1000621","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",14
"GEN24_1000621","Rotorua District",3
"GEN24_1000622","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1000624","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1000625","Dunedin City",2
"GEN24_1000625","Mackenzie District",2
"GEN24_1000625","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000625","Southland District (Fiordland)",2
"GEN24_1000626","Dunedin City",2
"GEN24_1000626","Mackenzie District",2
"GEN24_1000626","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000626","Southland District (Fiordland)",2
"GEN24_1000632","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",8
"GEN24_1000633","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",8
"GEN24_1000637","Christchurch City",2
"GEN24_1000643","Christchurch City",3
"GEN24_1000643","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",2
"GEN24_1000649","Westland District",8
"GEN24_1000650","Christchurch City",2
"GEN24_1000650","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000650","Southland District (Fiordland)",2
"GEN24_1000650","Waitaki District",1
"GEN24_1000650","Westland District",2
"GEN24_1000653","Westland District",7
"GEN24_1000655","Christchurch City",4
"GEN24_1000660","Christchurch City",9
"GEN24_1000662","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",4
"GEN24_1000663","Christchurch City",1
"GEN24_1000664","Christchurch City",6
"GEN24_1000664","Grey District",1
"GEN24_1000664","Kaikoura District",1
"GEN24_1000664","Nelson City",2
"GEN24_1000664","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000664","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",1
"GEN24_1000664","Westland District",2
"GEN24_1000665","Christchurch City",8
"GEN24_1000665","Hamilton City",8
"GEN24_1000669","Ashburton District",8
"GEN24_1000669","Christchurch City",2
"GEN24_1000669","Hurunui District",2
"GEN24_1000671","Christchurch City",3
"GEN24_1000671","Mackenzie District",2
"GEN24_1000671","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",8
"GEN24_1000671","Westland District",2
"GEN24_1000674","Christchurch City",10
"GEN24_1000676","Christchurch City",6
"GEN24_1000676","Dunedin City",5
"GEN24_1000676","Waimate District",4
"GEN24_1000677","Christchurch City",2
"GEN24_1000677","Dunedin City",1
"GEN24_1000677","Mackenzie District",6
"GEN24_1000677","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000677","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",2
"GEN24_1000677","Southland District (Fiordland)",2
"GEN24_1000677","Westland District",2
"GEN24_1000691","Timaru District",4
"GEN24_1000693","Christchurch City",4
"GEN24_1000697","Christchurch City",25
"GEN24_1000700","Ashburton District",2
"GEN24_1000700","Christchurch City",1
"GEN24_1000700","Hurunui District",2
"GEN24_1000700","Kaikoura District",1
"GEN24_1000700","Marlborough District",1
"GEN24_1000700","Tasman District",7
"GEN24_1000706","Auckland District",1
"GEN24_1000706","Central Otago District",4
"GEN24_1000706","Christchurch City",2
"GEN24_1000706","Dunedin City",1
"GEN24_1000706","Hamilton City",1
"GEN24_1000706","Kaikoura District",1
"GEN24_1000706","Manawatu District",2
"GEN24_1000706","Taupo District",1
"GEN24_1000706","Timaru District",3
"GEN24_1000706","Wellington City",1
"GEN24_1000708","Christchurch City",4
"GEN24_1000708","Dunedin City",1
"GEN24_1000708","Mackenzie District",2
"GEN24_1000708","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",1
"GEN24_1000708","Selwyn District",1
"GEN24_1000708","Southland District (Fiordland)",2
"GEN24_1000708","Timaru District",1
"GEN24_1000711","Selwyn District",1
"GEN24_1000711","Westland District",1
"GEN24_1000713","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1000718","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",7
"GEN24_1000719","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1000720","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000729","Ashburton District",2
"GEN24_1000729","Christchurch City",2
"GEN24_1000729","Dunedin City",2
"GEN24_1000729","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",1
"GEN24_1000729","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",10
"GEN24_1000731","Christchurch City",3
"GEN24_1000731","Mackenzie District",1
"GEN24_1000731","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000736","Auckland District",6
"GEN24_1000739","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000739","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",2
"GEN24_1000739","Timaru District",4
"GEN24_1000746","Christchurch City",1
"GEN24_1000746","Gisborne District",1
"GEN24_1000746","Palmerston North City",1
"GEN24_1000746","Waipa District",1
"GEN24_1000748","Christchurch City",3
"GEN24_1000748","Waimakariri District",7
"GEN24_1000760","Auckland District",5
"GEN24_1000760","Christchurch City",5
"GEN24_1000760","Mackenzie District",3
"GEN24_1000760","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1000760","Waitaki District",1
"GEN24_1000766","Christchurch City",8
"GEN24_1000778","Auckland District",30
"GEN24_1000781","Auckland District",25
"GEN24_1000781","Taupo District",2
"GEN24_1000781","Tauranga City",2
"GEN24_1000783","Invercargill City",20
"GEN24_1000788","Auckland District",12
"GEN24_1000788","Far North District",2
"GEN24_1000789","Auckland District",60
"GEN24_1000789","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000789","Rotorua District",5
"GEN24_1000790","Auckland District",12
"GEN24_1000790","Christchurch City",3
"GEN24_1000790","Nelson City",2
"GEN24_1000791","Auckland District",18
"GEN24_1000792","Taupo District",15
"GEN24_1000793","Hamilton City",19
"GEN24_1000797","Auckland District",18
"GEN24_1000797","Hauraki District",3
"GEN24_1000804","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",9
"GEN24_1000807","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1000821","Auckland District",11
"GEN24_1000821","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",1
"GEN24_1000821","Taupo District",2
"GEN24_1000823","Hastings District",5
"GEN24_1000824","Auckland District",2
"GEN24_1000824","Hastings District",5
"GEN24_1000826","Auckland District",16
"GEN24_1000828","Palmerston North City",4
"GEN24_1000829","Auckland District",4
"GEN24_1000837","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",14
"GEN24_1000844","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1000852","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1000853","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",9
"GEN24_1000853","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",2
"GEN24_1000853","Southland District (Fiordland)",1
"GEN24_1000857","Wellington City",5
"GEN24_1000864","Auckland District",4
"GEN24_1000864","Christchurch City",2
"GEN24_1000864","Dunedin City",3
"GEN24_1000864","Napier City",2
"GEN24_1000864","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000864","Rotorua District",2
"GEN24_1000864","Taupo District",2
"GEN24_1000864","Wellington City",5
"GEN24_1000865","Auckland District",4
"GEN24_1000865","Christchurch City",2
"GEN24_1000865","Dunedin City",2
"GEN24_1000865","Napier City",2
"GEN24_1000865","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000865","Rotorua District",2
"GEN24_1000865","Taupo District",2
"GEN24_1000865","Wellington City",4
"GEN24_1000866","Mackenzie District",1
"GEN24_1000866","Other",2
"GEN24_1000866","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000866","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",5
"GEN24_1000866","Taupo District",1
"GEN24_1000866","Tauranga City",4
"GEN24_1000868","Auckland District",9
"GEN24_1000868","Hauraki District",4
"GEN24_1000868","Taupo District",6
"GEN24_1000868","Tauranga City",2
"GEN24_1000869","Gisborne District",14
"GEN24_1000870","Auckland District",2
"GEN24_1000870","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",2
"GEN24_1000870","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",3
"GEN24_1000871","Auckland District",3
"GEN24_1000871","Napier City",1
"GEN24_1000871","Rotorua District",2
"GEN24_1000871","Wellington City",1
"GEN24_1000873","Auckland District",3
"GEN24_1000877","Auckland District",4
"GEN24_1000879","Auckland District",47
"GEN24_1000884","Auckland District",15
"GEN24_1000884","Thames-Coromandel District",3
"GEN24_1000884","Wellington City",1
"GEN24_1000890","Hurunui District",3
"GEN24_1000900","Christchurch City",3
"GEN24_1000902","Christchurch City",5
"GEN24_1000902","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000904","Christchurch City",4
"GEN24_1000904","Grey District",3
"GEN24_1000904","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1000904","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",3
"GEN24_1000907","Christchurch City",2
"GEN24_1000907","Dunedin City",1
"GEN24_1000907","Marlborough District",3
"GEN24_1000907","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1000907","Southland District (Fiordland)",2
"GEN24_1000907","Westland District",2
"GEN24_1000916","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1000918","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000925","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",8
"GEN24_1000927","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1000928","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1000938","Auckland District",1
"GEN24_1000938","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1000938","Rotorua District",3
"GEN24_1000938","Selwyn District",1
"GEN24_1000938","Taupo District",1
"GEN24_1000938","Wellington City",1
"GEN24_1000945","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000948","Christchurch City",21
"GEN24_1000950","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1000963","Christchurch City",1
"GEN24_1000963","Southland District (Central and Eastern)",3
"GEN24_1000964","Mackenzie District",3
"GEN24_1000969","Christchurch City",1
"GEN24_1000969","Mackenzie District",1
"GEN24_1000969","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1000969","Southland District (Fiordland)",1
"GEN24_1000970","Christchurch City",1
"GEN24_1000970","Mackenzie District",1
"GEN24_1000970","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1000970","Southland District (Fiordland)",1
"GEN24_1000977","Christchurch City",4
"GEN24_1000980","Rotorua District",1
"GEN24_1000982","Auckland District",1
"GEN24_1000982","Thames-Coromandel District",2
"GEN24_1000984","Auckland District",2
"GEN24_1000984","Central Otago District",8
"GEN24_1000984","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1000984","Thames-Coromandel District",8
"GEN24_1000986","Auckland District",4
"GEN24_1000989","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",2
"GEN24_1000989","Tauranga City",51
"GEN24_1000991","Hauraki District",4
"GEN24_1000991","Waikato District",17
"GEN24_1000992","Auckland District",2
"GEN24_1000992","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",2
"GEN24_1000992","Rotorua District",2
"GEN24_1000992","Southland District (Fiordland)",2
"GEN24_1000998","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",7
"GEN24_1001001","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",3
"GEN24_1001003","Auckland District",2
"GEN24_1001003","Christchurch City",2
"GEN24_1001003","Kaikoura District",1
"GEN24_1001003","Mackenzie District",1
"GEN24_1001003","Marlborough District",1
"GEN24_1001003","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1001003","Rotorua District",2
"GEN24_1001003","Wellington City",2
"GEN24_1001004","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",9
"GEN24_1001009","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1001011","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",14
"GEN24_1001018","Auckland District",3
"GEN24_1001018","Hamilton City",1
"GEN24_1001018","Whangarei District",2
"GEN24_1001020","Auckland District",20
"GEN24_1001021","Ruapehu District",1
"GEN24_1001021","Taupo District",1
"GEN24_1001021","Tauranga City",1
"GEN24_1001021","Waipa District",1
"GEN24_1001021","Waitomo District",1
"GEN24_1001023","Ashburton District",2
"GEN24_1001023","Auckland District",4
"GEN24_1001023","Christchurch City",2
"GEN24_1001023","Timaru District",12
"GEN24_1001027","Auckland District",60
"GEN24_1001038","Whangarei District",3
"GEN24_1001043","Auckland District",33
"GEN24_1001047","Auckland District",9
"GEN24_1001047","Central Otago District",1
"GEN24_1001047","Christchurch City",15
"GEN24_1001047","Kaikoura District",1
"GEN24_1001047","Nelson City",21
"GEN24_1001047","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",29.559999999999945
"GEN24_1001047","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",2
"GEN24_1001047","Tasman District",2
"GEN24_1001047","Timaru District",1
"GEN24_1001047","Waitaki District",2
"GEN24_1001047","Wellington City",7
"GEN24_1001047","Westland District",1
"GEN24_1001056","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1001059","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",2
"GEN24_1001060","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1001061","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",9
"GEN24_1001065","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",9
"GEN24_1001068","Kaikoura District",1
"GEN24_1001068","Mackenzie District",1
"GEN24_1001068","Marlborough District",2
"GEN24_1001068","Nelson City",1
"GEN24_1001068","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",29.559999999999945
"GEN24_1001068","Wellington City",3
"GEN24_1001068","Westland District",2
"GEN24_1001069","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1001074","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",10
"GEN24_1001077","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1001079","Auckland District",5
"GEN24_1001079","Thames-Coromandel District",9
"GEN24_1001083","Auckland District",8
"GEN24_1001083","New Plymouth District",21
"GEN24_1001083","Other",1
"GEN24_1001083","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1001088","Auckland District",1
"GEN24_1001088","Rotorua District",1
"GEN24_1001088","Ruapehu District",1
"GEN24_1001088","Taupo District",1
"GEN24_1001088","Thames-Coromandel District",1
"GEN24_1001089","Auckland District",7
"GEN24_1001089","Kapiti Coast District",3
"GEN24_1001090","Auckland District",5
"GEN24_1001094","Auckland District",25
"GEN24_1001100","Auckland District",16
"GEN24_1001106","Christchurch City",1
"GEN24_1001106","Mackenzie District",2
"GEN24_1001106","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1001106","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",2
"GEN24_1001111","Ashburton District",20
"GEN24_1001112","Ashburton District",1
"GEN24_1001112","Auckland District",12
"GEN24_1001112","Christchurch City",5
"GEN24_1001113","New Plymouth District",8
"GEN24_1001113","Rotorua District",3
"GEN24_1001113","Taupo District",4
"GEN24_1001116","Auckland District",1
"GEN24_1001116","Wellington City",2
"GEN24_1001116","Whangarei District",18
"GEN24_1001119","Auckland District",2
"GEN24_1001120","Auckland District",4
"GEN24_1001125","Auckland District",2
"GEN24_1001130","Christchurch City",14
"GEN24_1001130","Tasman District",7
"GEN24_1001135","Hastings District",26
"GEN24_1001139","Christchurch City",30
"GEN24_1001148","Auckland District",1
"GEN24_1001148","Christchurch City",2
"GEN24_1001148","Dunedin City",1
"GEN24_1001148","Nelson City",1
"GEN24_1001151","Christchurch City",3
"GEN24_1001151","Rotorua District",4
"GEN24_1001158","Dunedin City",2
"GEN24_1001158","Hauraki District",28
"GEN24_1001158","Invercargill City",4
"GEN24_1001158","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1001158","Southland District (Fiordland)",2
"GEN24_1001160","Auckland District",23
"GEN24_1001160","Whangarei District",2
"GEN24_1001161","Marlborough District",28
"GEN24_1001164","Auckland District",4
"GEN24_1001168","Auckland District",6
"GEN24_1001168","Central Hawke's Bay District",22
"GEN24_1001168","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",2
"GEN24_1001169","Auckland District",7
"GEN24_1001169","Christchurch City",2
"GEN24_1001169","Kawerau District",2
"GEN24_1001169","Marlborough District",1
"GEN24_1001169","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",2
"GEN24_1001169","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",2
"GEN24_1001169","Taupo District",2
"GEN24_1001169","Thames-Coromandel District",2
"GEN24_1001169","Western Bay of Plenty District",1
"GEN24_1001170","Auckland District",6
"GEN24_1001170","Dunedin City",11
"GEN24_1001170","Tauranga City",3
"GEN24_1001176","Auckland District",1
"GEN24_1001176","Christchurch City",1
"GEN24_1001176","Dunedin City",1
"GEN24_1001176","Hamilton City",7
"GEN24_1001176","Hastings District",7
"GEN24_1001176","Mackenzie District",1
"GEN24_1001176","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1001176","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",1
"GEN24_1001176","Thames-Coromandel District",3
"GEN24_1001178","Auckland District",20
"GEN24_1001178","Rotorua District",3
"GEN24_1001178","Taupo District",2
"GEN24_1001182","Auckland District",1
"GEN24_1001182","Whangarei District",13
"GEN24_1001183","Auckland District",8
"GEN24_1001187","Auckland District",6
"GEN24_1001187","Far North District",34.98000000000002
"GEN24_1001188","Auckland District",3
"GEN24_1001191","Hamilton City",37
"GEN24_1001191","Taupo District",2
"GEN24_1001192","Auckland District",4
"GEN24_1001193","Auckland District",2
"GEN24_1001201","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",8
"GEN24_1001201","Southland District (Fiordland)",2
"GEN24_1001209","Auckland District",1
"GEN24_1001221","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1001223","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",9
"GEN24_1001226","Auckland District",2
"GEN24_1001226","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1001228","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1001230","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",4
"GEN24_1001234","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1001234","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",1
"GEN24_1001234","Westland District",2
"GEN24_1001235","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1001237","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",7
"GEN24_1001242","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1001245","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1001248","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",13
"GEN24_1001253","Christchurch City",21
"GEN24_1001256","Ashburton District",2
"GEN24_1001256","Christchurch City",3
"GEN24_1001257","Christchurch City",3
"GEN24_1001257","Mackenzie District",4
"GEN24_1001257","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",5
"GEN24_1001257","Queenstown-Lakes District (Wanaka-Upper Clutha Ward)",2
"GEN24_1001257","Westland District",4
"GEN24_1001258","Central Otago District",1
"GEN24_1001258","Hurunui District",9
"GEN24_1001258","Waitaki District",1
"GEN24_1001262","Christchurch City",5
"GEN24_1001263","Christchurch City",70
"GEN24_1001264","Gore District",3
"GEN24_1001267","Christchurch City",23
"GEN24_1001267","Dunedin City",3
"GEN24_1001272","Queenstown-Lakes District (Queenstown-Whakatipu and Arrowtown-Kawarau Ward)",6
"GEN24_1001277","Christchurch City",19
"GEN24_1001281","Auckland District",1
"GEN24_1001281","Christchurch City",2
"GEN24_1001281","Mackenzie District",3
